# Chunk-averaged data for fix profile and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
5000 40 5000
  26 40.0783 126.23 0.970999
  27 41.232 124.488 0.959824
  28 42.3856 125.314 0.992685
  29 43.5393 124.509 0.980738
  30 44.693 126.534 0.974251
  31 45.8466 123.356 0.980199
  32 47.0003 123.441 0.988476
  33 48.1539 123.884 1.00167
  34 49.3076 124.046 0.998512
  35 50.4612 123.829 0.974703
  36 51.6149 122.236 0.993105
  37 52.7686 121.903 1.02547
  38 53.9222 124.583 1.04402
  39 55.0759 122.946 1.01907
  40 56.2295 122.531 1.00313
45000 40 5000
  1 11.2368 122.217 1.00061
  2 12.3905 123.556 1.01059
  3 13.5442 122.483 1.01281
  4 14.6978 126.666 0.964434
  5 15.8515 125.488 0.973926
  6 17.0051 124.993 0.976783
  7 18.1588 124.628 0.964706
  8 19.3125 126.09 0.962032
  9 20.4661 126.256 0.967288
  10 21.6198 126.956 0.955633
  11 22.7734 123.888 0.954706
  12 23.9271 124.189 0.964476
  13 25.0807 129.033 0.958692
  14 26.2344 126.092 0.982237
  15 27.3881 123.841 0.97065
  16 28.5417 125.534 0.967638
  17 29.6954 126.312 0.974789
  18 30.849 125.099 0.944841
  19 32.0027 126.94 0.950622
  20 33.1564 125.741 0.97577
  21 34.31 125.794 0.943852
  22 35.4637 128.989 0.954627
  23 36.6173 125.719 0.963243
  24 37.771 124.902 0.967606
  25 38.9247 127.514 0.969984
  26 40.0783 125.965 0.988472
  27 41.232 123.463 0.963992
  28 42.3856 125.512 0.975423
  29 43.5393 124.253 1.00911
  30 44.693 126.151 1.01104
  31 45.8466 124.185 0.996367
  32 47.0003 122.053 1.03396
  33 48.1539 124.542 0.996161
  34 49.3076 125.885 1.02009
  35 50.4612 123.362 1.01323
  36 51.6149 124.222 0.995722
  37 52.7686 121.163 1.00438
  38 53.9222 123.06 1.01173
  39 55.0759 122.899 1.01497
  40 56.2295 124.365 0.997126
50000 40 5000
  1 11.2368 124.035 1.01072
  2 12.3905 126.575 1.01656
  3 13.5442 124.303 0.991028
  4 14.6978 125.823 0.970751
  5 15.8515 127.716 0.981891
  6 17.0051 125.827 0.987529
  7 18.1588 127.005 0.964326
  8 19.3125 124.901 0.988206
  9 20.4661 124.831 0.97152
  10 21.6198 126.841 0.981153
  11 22.7734 126.9 0.961228
  12 23.9271 126.306 0.976991
  13 25.0807 123.861 0.992254
  14 26.2344 125.059 0.994362
  15 27.3881 125.138 1.01344
  16 28.5417 125.535 0.971567
  17 29.6954 123.946 0.965421
  18 30.849 125.467 0.97175
  19 32.0027 128.647 0.948456
  20 33.1564 126.258 0.986937
  21 34.31 126.346 0.950226
  22 35.4637 128.885 0.935885
  23 36.6173 124.262 0.956031
  24 37.771 124.479 0.974528
  25 38.9247 125.38 0.982342
  26 40.0783 121.052 0.979092
  27 41.232 122.912 1.0002
  28 42.3856 125.675 0.998271
  29 43.5393 123.363 0.972584
  30 44.693 123.87 0.997983
  31 45.8466 125.621 0.965305
  32 47.0003 124.116 0.954911
  33 48.1539 123.343 0.999103
  34 49.3076 125.064 1.0225
  35 50.4612 125.525 1.00635
  36 51.6149 124.309 1.02514
  37 52.7686 122.087 1.01935
  38 53.9222 122.076 1.04024
  39 55.0759 124.104 1.00471
  40 56.2295 122.558 0.996645
55000 40 5000
  1 11.2368 122.12 0.990896
  2 12.3905 124.508 0.997361
  3 13.5442 125.313 0.996318
  4 14.6978 122.883 0.993958
  5 15.8515 123.584 0.988867
  6 17.0051 126.533 0.974632
  7 18.1588 125.681 0.973074
  8 19.3125 125.261 0.967757
  9 20.4661 125.84 0.93189
  10 21.6198 125.621 0.956127
  11 22.7734 127.709 0.95749
  12 23.9271 124.371 0.97903
  13 25.0807 124.169 0.953761
  14 26.2344 123.02 0.949582
  15 27.3881 125.841 0.961717
  16 28.5417 124.841 0.982481
  17 29.6954 126.439 0.963304
  18 30.849 125.542 0.951318
  19 32.0027 125.572 0.974848
  20 33.1564 125.995 0.955666
  21 34.31 126.797 0.960161
  22 35.4637 125.472 0.94098
  23 36.6173 125.351 0.954899
  24 37.771 126.1 0.96451
  25 38.9247 127.585 0.979166
  26 40.0783 125.312 0.983346
  27 41.232 122.172 1.00173
  28 42.3856 127.103 0.986485
  29 43.5393 122.784 0.979026
  30 44.693 125.863 0.962749
  31 45.8466 125.4 1.00754
  32 47.0003 124.22 0.978442
  33 48.1539 123.648 0.997784
  34 49.3076 124.709 1.05286
  35 50.4612 126.767 1.00169
  36 51.6149 123.176 1.00499
  37 52.7686 122.719 1.03588
  38 53.9222 124.374 0.988023
  39 55.0759 124.064 1.01239
  40 56.2295 125.542 1.01346
60000 40 5000
  1 11.2368 123.473 0.996232
  2 12.3905 124.131 1.0117
  3 13.5442 122.23 1.01135
  4 14.6978 122.349 1.03872
  5 15.8515 122.141 0.993897
  6 17.0051 126.253 0.98094
  7 18.1588 126.824 0.945901
  8 19.3125 127.909 0.954051
  9 20.4661 125.433 0.97813
  10 21.6198 124.3 0.969197
  11 22.7734 127.32 0.94836
  12 23.9271 127.563 0.930969
  13 25.0807 123.761 0.97308
  14 26.2344 129.614 0.997061
  15 27.3881 126.329 0.990472
  16 28.5417 124.68 0.990194
  17 29.6954 128.126 0.957317
  18 30.849 128.252 0.960158
  19 32.0027 127.641 0.931745
  20 33.1564 125.514 0.969244
  21 34.31 126.474 0.957623
  22 35.4637 126.451 0.9735
  23 36.6173 125.661 0.945903
  24 37.771 127.684 0.976259
  25 38.9247 126.212 0.967149
  26 40.0783 124.369 0.96897
  27 41.232 125.408 0.99876
