# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot v_pyz v_eta
233000 373.41 1007.34 0.76028 957.572 965.292 -7.71937 -38.2649 0.000382649
234000 373.175 999.053 0.76028 957.127 964.685 -7.55784 -76.6613 0.000766613
235000 373.034 1065.71 0.76028 959.512 964.32 -4.80821 -89.6785 0.000896785
236000 373.287 1020.14 0.76028 959.515 964.974 -5.45952 -87.5053 0.000875053
237000 373.045 1006.73 0.76028 956.612 964.348 -7.73638 -103.249 0.00103249
238000 373.002 1063.49 0.76028 958.955 964.238 -5.28356 -56.5355 0.000565355
239000 373.062 1008.32 0.76028 958.442 964.392 -5.94991 -62.9945 0.000629945
240000 373.438 1038.33 0.76028 963.974 965.365 -1.39074 -94.33 0.0009433
241000 373.409 1011.04 0.76028 959.018 965.29 -6.2729 -63.2881 0.000632881
242000 372.763 986.768 0.76028 956.078 963.62 -7.54243 -81.1978 0.000811978
243000 373.222 1035.72 0.76028 960.927 964.807 -3.87956 -62.9565 0.000629565
244000 373.23 1003.44 0.76028 961.646 964.827 -3.18063 -38.1769 0.000381769
245000 373.255 996.589 0.76028 959.846 964.892 -5.04562 -43.8339 0.000438339
246000 372.805 1005.04 0.76028 957.062 963.729 -6.66781 -73.0376 0.000730376
247000 373.258 1006.43 0.76028 958.75 964.899 -6.14897 -54.1923 0.000541923
248000 373.202 996.099 0.76028 958.41 964.754 -6.34399 -75.2631 0.000752631
249000 373.279 1012.2 0.76028 965.307 964.954 0.352696 -2.57564 2.57564e-05
250000 372.863 1033.5 0.76028 960.662 963.879 -3.21758 -70.7788 0.000707788
251000 373.667 1042.29 0.76028 963.186 965.957 -2.77144 -42.2369 0.000422369
252000 372.894 1041.92 0.76028 959.316 963.959 -4.64321 -85.3567 0.000853567
253000 372.88 1019.33 0.76028 960.091 963.921 -3.82979 -35.4708 0.000354708
254000 373.528 980.728 0.76028 962.013 965.598 -3.58477 -63.386 0.00063386
255000 372.715 1015.39 0.76028 960.139 963.496 -3.35716 -32.8415 0.000328415
256000 373.565 981.988 0.76028 961.731 965.693 -3.9617 -70.8889 0.000708889
257000 373.029 987.814 0.76028 959.793 964.308 -4.51493 -52.0128 0.000520128
258000 373.123 975.702 0.76028 959.133 964.551 -5.41765 -36.5134 0.000365134
259000 373.183 955.963 0.76028 958.613 964.705 -6.09235 -65.6628 0.000656628
260000 373.226 954.751 0.76028 955.555 964.818 -9.263 -75.7697 0.000757697
261000 373.187 1007.88 0.76028 959.349 964.715 -5.36586 -53.0538 0.000530538
262000 372.941 1015.13 0.76028 956.459 964.079 -7.62054 -101.742 0.00101742
263000 372.975 1033 0.76028 959.417 964.169 -4.75191 -68.8692 0.000688692
264000 373.214 975.029 0.76028 954.954 964.786 -9.83121 -48.9356 0.000489356
265000 373.457 994.698 0.76028 958.882 965.414 -6.532 -81.0745 0.000810745
266000 373.071 1048.21 0.76028 959.742 964.415 -4.67313 -47.6009 0.000476009
267000 373.186 1038.8 0.76028 960.693 964.712 -4.01942 -34.5813 0.000345813
268000 372.906 1045.38 0.76028 956.336 963.99 -7.65338 -79.1257 0.000791257
269000 373.398 1015.51 0.76028 957.628 965.26 -7.63237 -56.7257 0.000567257
270000 372.923 1045.19 0.76028 951.369 964.032 -12.6638 -73.3471 0.000733471
271000 373.181 1042.21 0.76028 955.886 964.7 -8.81401 -50.6176 0.000506176
272000 373.406 1041.28 0.76028 959.19 965.281 -6.09096 -75.5491 0.000755491
273000 373.1 1074.51 0.76028 962.662 964.49 -1.82824 -55.7556 0.000557556
274000 373.098 996.225 0.76028 957.476 964.485 -7.00889 -26.6938 0.000266938
275000 373.182 997.784 0.76028 959.498 964.704 -5.20587 -30.7755 0.000307755
276000 373.023 977.091 0.76028 959.914 964.291 -4.3767 -47.7783 0.000477783
277000 373.36 995.452 0.76028 959.283 965.163 -5.88008 -76.9264 0.000769264
278000 373.081 1038.69 0.76028 960.743 964.442 -3.69959 -64.7115 0.000647115
279000 372.918 984.456 0.76028 958.151 964.019 -5.86845 -75.0607 0.000750607
280000 373.388 1017.27 0.76028 960.348 965.234 -4.88586 -19.2207 0.000192207
281000 373.206 1075.59 0.76028 960.198 964.766 -4.56831 -33.9547 0.000339547
282000 372.808 1003.36 0.76028 958.299 963.737 -5.43808 -47.0279 0.000470279
283000 373.522 993.793 0.76028 960.336 965.582 -5.24645 -90.9754 0.000909754
284000 372.884 1024.72 0.76028 954.841 963.933 -9.0914 -25.1129 0.000251129
285000 373.505 1004.29 0.76028 958.272 965.537 -7.2653 -81.9801 0.000819801
286000 372.967 1050.91 0.76028 958.061 964.147 -6.0861 -98.5095 0.000985095
287000 373.016 993.462 0.76028 957.378 964.274 -6.89582 -116.553 0.00116553
288000 373.149 1007.74 0.76028 956.171 964.619 -8.44802 -80 0.0008
289000 373.224 982.766 0.76028 957.992 964.813 -6.82098 -66.9466 0.000669466
