# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot v_pyz v_eta
128000 373.009 -1.11707 0.67534 1061.24 964.255 96.9824 -38.2927 0.000382927
129000 373.237 -16.438 0.67534 1060.83 964.844 95.982 -40.3086 0.000403086
130000 373.389 -29.0101 0.67534 1061.36 965.238 96.1186 -22.298 0.00022298
131000 373.064 -14.7275 0.67534 1062.41 964.398 98.0148 -30.4367 0.000304367
132000 372.796 -3.92832 0.67534 1061.52 963.706 97.817 -9.9406 9.9406e-05
133000 373.367 -17.5329 0.67534 1066.05 965.181 100.873 -54.5243 0.000545243
134000 373.46 -13.9253 0.67534 1064.95 965.421 99.5245 -25.6412 0.000256412
135000 373.067 -0.657812 0.67534 1067.72 964.406 103.312 5.86626 -5.86626e-05
136000 372.844 -10.3516 0.67534 1065.01 963.83 101.181 -7.96073 7.96073e-05
137000 373.268 7.68651 0.67534 1067.32 964.925 102.394 -23.1446 0.000231446
138000 373.274 7.32337 0.67534 1061.1 964.94 96.1612 -28.6698 0.000286698
139000 372.958 -9.50425 0.67534 1062 964.124 97.8752 -24.9087 0.000249087
140000 373.177 28.125 0.67534 1063.16 964.691 98.4686 -18.0659 0.000180659
141000 373.252 -12.6483 0.67534 1063.05 964.883 98.1664 -32.6377 0.000326377
142000 373.291 -15.7086 0.67534 1065.71 964.985 100.73 -39.7027 0.000397027
143000 372.916 38.4595 0.67534 1064.02 964.016 100.008 -48.548 0.00048548
144000 373.265 -20.9524 0.67534 1064.61 964.918 99.6962 -50.0251 0.000500251
145000 372.994 40.2692 0.67534 1065.37 964.217 101.154 -48.2903 0.000482903
146000 373.279 -7.50619 0.67534 1063.57 964.955 98.6192 -11.3763 0.000113763
147000 373.044 -16.1185 0.67534 1062.29 964.345 97.9434 -12.4421 0.000124421
148000 373.087 -7.75072 0.67534 1065.77 964.457 101.314 -30.0863 0.000300863
149000 373.457 -15.6636 0.67534 1070.32 965.415 104.906 -2.442 2.442e-05
150000 372.951 -45.5384 0.67534 1066.77 964.107 102.665 -6.92581 6.92581e-05
151000 373.018 -19.1903 0.67534 1065.3 964.28 101.02 -28.9786 0.000289786
152000 373.254 -2.17901 0.67534 1066.85 964.888 101.966 -23.3953 0.000233953
153000 373.412 21.6133 0.67534 1068.42 965.298 103.121 -36.1469 0.000361469
154000 372.854 -1.30602 0.67534 1064.44 963.854 100.584 -40.7216 0.000407216
155000 373.076 -4.4932 0.67534 1063.1 964.429 98.6737 -13.7456 0.000137456
156000 373.287 -15.9702 0.67534 1065.65 964.974 100.679 -32.3726 0.000323726
157000 373.257 26.7409 0.67534 1067.13 964.898 102.232 -39.6204 0.000396204
158000 372.776 24.6875 0.67534 1059.94 963.654 96.2893 -31.2826 0.000312826
159000 373.482 38.2077 0.67534 1064.99 965.478 99.5083 -33.237 0.00033237
160000 372.898 -14.5468 0.67534 1063.76 963.97 99.7901 -33.2746 0.000332746
161000 373.321 -5.25697 0.67534 1064.06 965.063 98.9942 -35.9966 0.000359966
162000 373.199 1.97404 0.67534 1068.35 964.747 103.605 -49.4239 0.000494239
163000 373.056 -36.2097 0.67534 1066.17 964.376 101.794 -48.4017 0.000484017
164000 373.146 -9.29812 0.67534 1066.44 964.611 101.831 -24.5869 0.000245869
165000 373.039 11.507 0.67534 1065.99 964.334 101.655 -73.1598 0.000731598
166000 373.226 25.2515 0.67534 1066.67 964.817 101.852 -43.3742 0.000433742
167000 373.309 7.31048 0.67534 1067.69 965.032 102.658 -6.02442 6.02442e-05
168000 372.812 29.6117 0.67534 1065.61 963.747 101.867 -31.6202 0.000316202
169000 373.145 34.4773 0.67534 1065.22 964.607 100.61 -23.6337 0.000236337
170000 373.554 -0.13016 0.67534 1063.44 965.665 97.7704 -24.7968 0.000247968
171000 373.031 46.3906 0.67534 1067.09 964.313 102.776 -55.9379 0.000559379
172000 373.152 -5.48359 0.67534 1063.67 964.626 99.0464 -2.53869 2.53869e-05
173000 373.341 0.8244 0.67534 1064.27 965.114 99.1575 -35.5834 0.000355834
174000 372.915 11.8869 0.67534 1062.72 964.013 98.7075 -64.987 0.00064987
175000 373.229 23.0091 0.67534 1064.67 964.825 99.8454 -10.3499 0.000103499
176000 372.878 18.2151 0.67534 1064.37 963.916 100.458 -62.5738 0.000625738
177000 373.417 -22.8249 0.67534 1066.94 965.311 101.628 -43.402 0.00043402
178000 373.251 -5.11789 0.67534 1067.13 964.883 102.244 -23.5245 0.000235245
179000 372.844 -5.34392 0.67534 1065.57 963.83 101.745 -28.1255 0.000281255
180000 373.384 -0.270968 0.67534 1066.69 965.225 101.468 -73.1955 0.000731955
181000 373.182 10.148 0.67534 1069.01 964.704 104.301 -44.9658 0.000449658
182000 373.076 7.31364 0.67534 1068.91 964.429 104.479 -56.5232 0.000565232
183000 372.863 4.88869 0.67534 1070.07 963.879 106.193 -48.7705 0.000487705
184000 373.522 1.65708 0.67534 1069.75 965.581 104.164 -58.6803 0.000586803
185000 373.137 -34.2139 0.67534 1065.46 964.586 100.878 -12.2285 0.000122285
186000 373.042 14.3755 0.67534 1068.91 964.341 104.57 -13.1009 0.000131009
187000 373.183 -14.0266 0.67534 1068.06 964.706 103.352 -70.3697 0.000703697
188000 373.208 0.424124 0.67534 1064.93 964.771 100.164 -19.7628 0.000197628
189000 373.252 -0.133419 0.67534 1070.32 964.883 105.437 -12.9179 0.000129179
190000 373.063 -9.62853 0.67534 1069.06 964.395 104.663 -31.2694 0.000312694
191000 372.753 0.688759 0.67534 1067.46 963.594 103.863 -23.7739 0.000237739
192000 373.465 0.859715 0.67534 1067.91 965.434 102.479 13.8061 -0.000138061
193000 373.365 -6.72918 0.67534 1067.84 965.177 102.664 -9.88724 9.88724e-05
194000 372.696 18.0126 0.67534 1063.12 963.446 99.6692 -48.3985 0.000483985
195000 373.313 24.9728 0.67534 1062.94 965.041 97.8955 -49.9151 0.000499151
196000 373.316 -13.5371 0.67534 1068.72 965.049 103.672 -12.4126 0.000124126
197000 372.852 -4.22215 0.67534 1067.04 963.849 103.187 -12.6365 0.000126365
198000 373.435 10.8875 0.67534 1072.78 965.356 107.42 -51.8166 0.000518166
199000 373.049 -11.9499 0.67534 1066 964.359 101.64 -1.51295 1.51295e-05
200000 373.275 22.8092 0.67534 1067.79 964.944 102.843 -1.90397 1.90397e-05
201000 373.136 -18.6484 0.67534 1065.26 964.585 100.672 -12.6483 0.000126483
202000 373.226 29.7511 0.67534 1066.85 964.816 102.038 -8.8866 8.8866e-05
203000 373.074 26.4724 0.67534 1063.52 964.423 99.0974 -11.6245 0.000116245
204000 373.012 25.5262 0.67534 1063.83 964.263 99.5679 -5.92596 5.92596e-05
205000 373.444 6.53348 0.67534 1063.69 965.38 98.3147 -2.81696 2.81696e-05
206000 372.775 -12.0994 0.67534 1063.11 963.652 99.4627 -6.28943 6.28943e-05
207000 373.059 2.652 0.67534 1064.85 964.385 100.462 -32.6668 0.000326668
208000 373.487 47.5984 0.67534 1071.25 965.492 105.753 -46.1874 0.000461874
209000 372.992 -0.444516 0.67534 1063.27 964.211 99.0549 -7.60482 7.60482e-05
210000 373.031 4.60095 0.67534 1064.97 964.313 100.653 -6.11655 6.11655e-05
211000 373.369 -0.371513 0.67534 1066.65 965.186 101.468 -11.1457 0.000111457
212000 373.014 -22.6428 0.67534 1063.51 964.268 99.2451 -15.8505 0.000158505
213000 373.157 37.2802 0.67534 1061.51 964.638 96.8669 0.456702 -4.56702e-06
214000 373.413 15.6895 0.67534 1062.99 965.3 97.6896 -5.67102 5.67102e-05
215000 372.878 -31.3604 0.67534 1056.66 963.916 92.7458 -13.625 0.00013625
216000 373.174 1.7469 0.67534 1064.3 964.683 99.6184 -2.27456 2.27456e-05
217000 373.22 10.3311 0.67534 1062.55 964.8 97.7501 -13.0305 0.000130305
218000 373.132 25.5555 0.67534 1064.08 964.573 99.5075 -32.1114 0.000321114
219000 373.224 -1.01476 0.67534 1065 964.811 100.19 -10.3826 0.000103826
220000 373.122 -7.83818 0.67534 1064.06 964.547 99.5143 -48.7192 0.000487192
221000 372.858 22.9257 0.67534 1062.86 963.864 98.9949 -36.5618 0.000365618
222000 373.406 6.25006 0.67534 1068.28 965.282 103.003 -54.5651 0.000545651
223000 373.248 -60.0111 0.67534 1063.9 964.872 99.0285 -39.4951 0.000394951
224000 373.099 25.8395 0.67534 1069.14 964.489 104.656 -27.6603 0.000276603
225000 373.065 -37.887 0.67534 1063.04 964.401 98.6389 -5.06003 5.06003e-05
226000 373.415 -11.3879 0.67534 1064.58 965.306 99.2787 -21.1432 0.000211432
227000 372.799 10.5334 0.67534 1065.5 963.712 101.786 -19.4132 0.000194132
228000 373.381 17.0186 0.67534 1068.78 965.217 103.561 -24.6986 0.000246986
229000 372.867 -26.7857 0.67534 1060.77 963.889 96.8762 -20.4553 0.000204553
230000 373.451 9.24485 0.67534 1067.09 965.397 101.688 -45.3604 0.000453604
231000 373.19 6.07834 0.67534 1067.18 964.725 102.45 -4.82188 4.82188e-05
232000 372.825 23.8151 0.67534 1063.43 963.779 99.6487 -31.0485 0.000310485
233000 373.338 8.17216 0.67534 1069.57 965.107 104.462 -53.9829 0.000539829
234000 373.174 65.6146 0.67534 1063.2 964.682 98.5211 -23.5825 0.000235825
235000 372.956 36.1175 0.67534 1062.37 964.118 98.2566 -36.5021 0.000365021
236000 373.347 -3.06315 0.67534 1063.17 965.131 98.0351 -38.4874 0.000384874
237000 372.937 11.7746 0.67534 1059.34 964.068 95.2735 -32.2116 0.000322116
238000 373.492 15.473 0.67534 1065.8 965.503 100.299 -30.4375 0.000304375
239000 372.75 -16.8034 0.67534 1059.4 963.586 95.8097 -18.835 0.00018835
240000 373.038 20.8618 0.67534 1065.91 964.331 101.58 -8.18668 8.18668e-05
241000 373.383 8.04097 0.67534 1063.07 965.223 97.8441 32.8331 -0.000328331
242000 373.346 -1.22753 0.67534 1065.01 965.127 99.8838 -25.2492 0.000252492
243000 372.918 1.74939 0.67534 1061.9 964.02 97.8776 -78.3033 0.000783033
244000 373.316 48.4663 0.67534 1063.84 965.051 98.791 -17.4239 0.000174239
245000 373.127 -36.1538 0.67534 1066.01 964.561 101.449 -16.935 0.00016935
246000 373.26 -31.4564 0.67534 1069.38 964.904 104.479 -20.9338 0.000209338
247000 372.834 2.98925 0.67534 1067.94 963.803 104.135 -30.9079 0.000309079
248000 373.385 -32.8731 0.67534 1064.87 965.227 99.6451 -26.4309 0.000264309
249000 372.756 3.34598 0.67534 1061.42 963.6 97.8236 -27.7279 0.000277279
250000 373.301 -5.90207 0.67534 1060.68 965.011 95.6705 -20.2769 0.000202769
251000 373.223 -0.234194 0.67534 1061.75 964.808 96.9384 -32.6115 0.000326115
252000 373.396 4.83694 0.67534 1062.31 965.255 97.0511 -52.4921 0.000524921
253000 372.947 51.652 0.67534 1066.15 964.095 102.051 -26.436 0.00026436
254000 373.505 38.7086 0.67534 1067.23 965.537 101.696 -16.1595 0.000161595
255000 372.759 60.37 0.67534 1065.82 963.609 102.212 -13.0907 0.000130907
256000 373.144 39.2788 0.67534 1064.54 964.604 99.9352 -10.8366 0.000108366
257000 373.44 20.5862 0.67534 1066.34 965.371 100.97 -8.21764 8.21764e-05
258000 373.045 31.055 0.67534 1066.98 964.348 102.628 -28.7539 0.000287539
259000 372.893 17.9843 0.67534 1066.44 963.957 102.481 -24.3544 0.000243544
260000 373.626 75.7046 0.67534 1065.67 965.85 99.8167 -16.8064 0.000168064
