# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot
4260 1.0908 0.43837 0.726 -3.38363 1.63587 -5.0195
4280 1.09092 0.434862 0.726 -3.38559 1.63605 -5.02164
4300 1.07676 0.492534 0.726 -3.38867 1.61482 -5.00348
4320 1.06905 0.523555 0.726 -3.39146 1.60325 -4.99471
4340 1.07108 0.513418 0.726 -3.3932 1.6063 -4.9995
4360 1.07007 0.517263 0.726 -3.39395 1.60478 -4.99873
4380 1.0706 0.516634 0.726 -3.39358 1.60558 -4.99916
4400 1.0712 0.51878 0.726 -3.39167 1.60648 -4.99815
4420 1.0738 0.520986 0.726 -3.38727 1.61038 -4.99765
4440 1.08138 0.519396 0.726 -3.37904 1.62174 -5.00078
4460 1.08072 0.56992 0.726 -3.36708 1.62075 -4.98783
4480 1.08286 0.614007 0.726 -3.35338 1.62397 -4.97736
4500 1.09645 0.600056 0.726 -3.34104 1.64435 -4.98539
4520 1.10791 0.578509 0.726 -3.33273 1.66153 -4.99426
4540 1.10982 0.580841 0.726 -3.32902 1.66439 -4.99341
4560 1.11266 0.564174 0.726 -3.32933 1.66866 -4.998
4580 1.10966 0.556919 0.726 -3.33343 1.66416 -4.99759
4600 1.09913 0.568049 0.726 -3.34069 1.64837 -4.98905
4620 1.09243 0.553868 0.726 -3.34957 1.63832 -4.98789
4640 1.08935 0.520326 0.726 -3.35869 1.6337 -4.99238
4660 1.09336 0.459039 0.726 -3.36733 1.63971 -5.00704
4680 1.09203 0.427439 0.726 -3.37559 1.63772 -5.01331
4700 1.08304 0.439412 0.726 -3.38313 1.62424 -5.00737
4720 1.07474 0.459397 0.726 -3.38924 1.61179 -5.00103
4740 1.06757 0.482725 0.726 -3.3935 1.60104 -4.99454
4760 1.06125 0.506512 0.726 -3.39567 1.59156 -4.98723
4780 1.06724 0.481818 0.726 -3.39563 1.60053 -4.99616
4800 1.07327 0.462028 0.726 -3.39409 1.60958 -5.00367
4820 1.07193 0.48024 0.726 -3.39172 1.60758 -4.9993
4840 1.07186 0.498102 0.726 -3.38837 1.60747 -4.99585
4860 1.07525 0.503061 0.726 -3.38395 1.61255 -4.99649
4880 1.0794 0.504967 0.726 -3.37873 1.61877 -4.9975
4900 1.08793 0.488455 0.726 -3.37321 1.63156 -5.00478
4920 1.09573 0.473901 0.726 -3.36836 1.64326 -5.01162
4940 1.09313 0.501019 0.726 -3.36503 1.63936 -5.00439
4960 1.08495 0.549627 0.726 -3.36302 1.6271 -4.99012
4980 1.07631 0.59741 0.726 -3.36134 1.61415 -4.97548
5000 1.0775 0.600504 0.726 -3.35888 1.61593 -4.97482
5020 1.08729 0.564371 0.726 -3.35527 1.63061 -4.98588
5040 1.0958 0.531898 0.726 -3.35101 1.64337 -4.99438
5060 1.10085 0.512999 0.726 -3.34695 1.65095 -4.9979
5080 1.1045 0.499259 0.726 -3.34406 1.65642 -5.00048
5100 1.10285 0.504199 0.726 -3.34346 1.65394 -4.9974
5120 1.09965 0.508325 0.726 -3.34589 1.64914 -4.99503
5140 1.09316 0.515598 0.726 -3.35162 1.63941 -4.99103
5160 1.08829 0.505509 0.726 -3.36008 1.63211 -4.99219
5180 1.08569 0.479522 0.726 -3.37017 1.62821 -4.99838
5200 1.07921 0.471082 0.726 -3.38045 1.61849 -4.99894
5220 1.0733 0.467338 0.726 -3.38941 1.60962 -4.99904
5240 1.07174 0.452006 0.726 -3.39628 1.60729 -5.00357
5260 1.07574 0.420306 0.726 -3.40128 1.61329 -5.01457
5280 1.07356 0.422354 0.726 -3.40514 1.61002 -5.01516
5300 1.06625 0.453952 0.726 -3.40785 1.59906 -5.0069
