# Chunk-averaged data for fix profile and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vy
5000 20 5000
90000 20 5000
  1 0.025 253.216 -0.125208
  2 0.075 251.959 -0.130537
  3 0.125 253.164 -0.0555518
  4 0.175 250.569 -0.0337378
  5 0.225 249.489 -0.00167904
  6 0.275 249.339 3.90439e-07
  7 0.325 249.253 0.0590782
  8 0.375 249.329 0.0837166
  9 0.425 247.466 0.105157
  10 0.475 244.803 0.201652
  11 0.525 239.864 0.196651
  12 0.575 249.248 0.153259
  13 0.625 248.21 0.101313
  14 0.675 253.059 0.0465776
  15 0.725 243.2 -0.0221608
  16 0.775 245.309 -0.0563258
  17 0.825 255.468 -0.086529
  18 0.875 257.925 -0.128341
  19 0.925 254.604 -0.140901
  20 0.975 254.527 -0.139357
95000 20 5000
  1 0.025 259.17 -0.136094
  2 0.075 247.478 -0.0788395
  3 0.125 250.57 -0.0904959
  4 0.175 251.227 -0.0635002
  5 0.225 246.162 -0.0425147
  6 0.275 245.43 -0.0107553
  7 0.325 245.817 0.0725713
  8 0.375 249.6 0.147238
  9 0.425 255.478 0.187215
  10 0.475 255.422 0.190906
  11 0.525 243.199 0.160835
  12 0.575 240.249 0.105746
  13 0.625 243.219 0.0699171
  14 0.675 254.353 0.0261856
  15 0.725 247.748 0.0324793
  16 0.775 253.224 -0.0326498
  17 0.825 252.806 -0.114533
  18 0.875 250.903 -0.118283
  19 0.925 258.287 -0.142005
  20 0.975 249.658 -0.149481
100000 20 5000
  1 0.025 250.241 -0.160376
  2 0.075 261.152 -0.144887
  3 0.125 255.358 -0.103049
  4 0.175 250.528 -0.0945201
  5 0.225 251.824 -0.0166027
  6 0.275 248.788 -0.00482847
  7 0.325 248.042 0.0745797
  8 0.375 247.84 0.121532
  9 0.425 248.48 0.145162
  10 0.475 253.718 0.17776
  11 0.525 246.147 0.185586
  12 0.575 243.721 0.123673
  13 0.625 239.925 0.0686678
  14 0.675 248.452 0.0442879
  15 0.725 248.505 -0.0131705
  16 0.775 246.56 -0.00200101
  17 0.825 248.781 -0.0331467
  18 0.875 253.333 -0.074664
  19 0.925 254.664 -0.1023
  20 0.975 253.941 -0.168408
105000 20 5000
  1 0.025 257.518 -0.224301
  2 0.075 259.141 -0.157052
  3 0.125 250.263 -0.0968
  4 0.175 248.288 -0.0192597
  5 0.225 249.589 -0.0126403
  6 0.275 247.889 0.0556626
  7 0.325 247.322 0.123081
  8 0.375 242.551 0.0930119
  9 0.425 248.867 0.139262
  10 0.475 248.835 0.198517
  11 0.525 252.483 0.193774
  12 0.575 239.613 0.109333
  13 0.625 246.973 0.0852908
  14 0.675 244.309 0.0164464
  15 0.725 255.793 -0.001089
  16 0.775 252.189 -0.0663158
  17 0.825 259.007 -0.0447365
  18 0.875 245.745 -0.0763159
  19 0.925 254.527 -0.10813
  20 0.975 249.098 -0.182945
110000 20 5000
  1 0.025 249.387 -0.184872
  2 0.075 250.582 -0.13791
  3 0.125 255.902 -0.0933023
  4 0.175 250.132 -0.0505611
  5 0.225 246.549 0.00982657
  6 0.275 248.577 0.0497661
  7 0.325 247.317 0.079569
  8 0.375 248.342 0.113426
  9 0.425 243.091 0.120098
  10 0.475 251.267 0.130515
  11 0.525 251.721 0.157351
  12 0.575 241.961 0.0983667
  13 0.625 246.332 0.0494344
  14 0.675 248.583 0.0749926
  15 0.725 245.633 0.0205184
  16 0.775 249.187 -0.0476516
  17 0.825 251.941 -0.0349338
  18 0.875 253.663 -0.0676483
  19 0.925 262.273 -0.109791
  20 0.975 257.562 -0.155621
115000 20 5000
  1 0.025 253.494 -0.164472
  2 0.075 258.936 -0.14092
  3 0.125 254.373 -0.117021
  4 0.175 249.96 -0.0519496
  5 0.225 248.161 -0.022671
  6 0.275 245.147 0.0285358
  7 0.325 241.777 0.0184837
  8 0.375 245.892 0.0607853
  9 0.425 246.753 0.108059
  10 0.475 247.591 0.112798
  11 0.525 248.236 0.154119
  12 0.575 247.41 0.132806
  13 0.625 253.995 0.0758836
  14 0.675 255.548 0.0441078
  15 0.725 245.752 0.0525239
  16 0.775 245.13 0.0537853
  17 0.825 243.628 -0.0859252
  18 0.875 259.329 -0.0855003
  19 0.925 252.865 -0.0765864
  20 0.975 256.024 -0.077036
120000 20 5000
  1 0.025 254.853 -0.208939
  2 0.075 254.39 -0.144632
  3 0.125 254.836 -0.0914762
  4 0.175 247.836 -0.0860446
  5 0.225 247.037 -0.000105227
  6 0.275 243.674 0.0328972
  7 0.325 241.209 0.00503463
  8 0.375 247.395 0.00289759
  9 0.425 247.184 0.0969936
  10 0.475 251.035 0.125326
  11 0.525 250.833 0.10948
  12 0.575 253.826 0.100022
  13 0.625 249.434 0.0792165
  14 0.675 251.639 0.119576
  15 0.725 250.81 0.0965612
  16 0.775 251.529 0.0286972
  17 0.825 254.313 0.0138478
  18 0.875 243.985 -0.0423882
  19 0.925 251.179 -0.0775582
  20 0.975 253.002 -0.152227
125000 20 5000
  1 0.025 256.074 -0.197702
  2 0.075 251.898 -0.167444
  3 0.125 256.521 -0.0955288
  4 0.175 250.295 -0.0478115
  5 0.225 250.93 -0.000873537
  6 0.275 249.572 0.03262
  7 0.325 241.075 0.0374009
  8 0.375 240.188 0.0215101
  9 0.425 244.253 0.0341127
  10 0.475 246.897 0.0866748
  11 0.525 257.492 0.153547
  12 0.575 246.961 0.154313
  13 0.625 250.12 0.0997865
  14 0.675 242.281 0.0437447
  15 0.725 257.003 0.0673771
  16 0.775 252.218 0.0423889
  17 0.825 251.003 0.0326258
  18 0.875 247.153 -0.0631047
  19 0.925 254.011 -0.0700474
  20 0.975 254.053 -0.151819
130000 20 5000
  1 0.025 254.127 -0.140095
  2 0.075 255.753 -0.143748
  3 0.125 250.538 -0.102482
  4 0.175 253.598 -0.078496
  5 0.225 247.937 -0.0529377
  6 0.275 248.497 -0.00486131
  7 0.325 234.97 0.0517149
  8 0.375 242.109 0.0932252
  9 0.425 246.342 0.0950019
  10 0.475 240.657 0.0932492
  11 0.525 247.114 0.137516
  12 0.575 248.956 0.136493
  13 0.625 249.451 0.100023
  14 0.675 247.952 0.0808919
  15 0.725 250.565 0.0826126
  16 0.775 253.93 0.0191517
  17 0.825 253.618 0.00733249
  18 0.875 255.672 -0.0882636
  19 0.925 259.703 -0.119697
  20 0.975 258.511 -0.135494
135000 20 5000
  1 0.025 254.882 -0.17467
  2 0.075 245.725 -0.166264
  3 0.125 253.081 -0.10822
  4 0.175 246.186 -0.0914205
  5 0.225 251.785 -0.0710991
  6 0.275 250.725 -0.0205828
  7 0.325 244.745 0.019204
  8 0.375 250.412 0.0657003
  9 0.425 243.536 0.117629
  10 0.475 250.074 0.127379
  11 0.525 242.271 0.171356
  12 0.575 247.748 0.168337
  13 0.625 249.366 0.126549
  14 0.675 248.836 0.0987064
  15 0.725 253.477 0.066959
  16 0.775 252.046 0.0154468
  17 0.825 253.909 -0.0230079
  18 0.875 255.261 -0.0492177
  19 0.925 247.859 -0.106196
  20 0.975 258.076 -0.150337
140000 20 5000
  1 0.025 255.488 -0.150407
  2 0.075 255.047 -0.109816
  3 0.125 250.236 -0.0970139
  4 0.175 240.85 -0.0955074
  5 0.225 238.026 -0.0373549
  6 0.275 248.196 -0.0155392
  7 0.325 248.775 0.00608554
  8 0.375 244.001 0.0274759
  9 0.425 248.93 0.0700051
  10 0.475 251.379 0.173348
  11 0.525 250 0.212547
  12 0.575 240.997 0.140365
  13 0.625 245.737 0.080838
  14 0.675 251.996 0.1207
  15 0.725 252.671 0.0694514
  16 0.775 255.876 0.00143489
  17 0.825 253.186 -0.0385523
  18 0.875 254.331 -0.0810173
  19 0.925 258.508 -0.112821
  20 0.975 255.771 -0.150083
145000 20 5000
  1 0.025 250.554 -0.195197
  2 0.075 252.797 -0.17537
  3 0.125 246.456 -0.136896
  4 0.175 248.887 -0.0991804
  5 0.225 240.526 -0.0765155
  6 0.275 250.78 -0.0203057
  7 0.325 252.603 0.0271241
  8 0.375 245.975 0.0835561
  9 0.425 249.257 0.0894328
  10 0.475 245.161 0.162395
  11 0.525 247.99 0.193477
  12 0.575 251.958 0.187152
  13 0.625 248.501 0.161155
  14 0.675 250.499 0.121132
  15 0.725 252.502 0.0299988
  16 0.775 247.722 -0.0383479
  17 0.825 251.719 -0.0380474
  18 0.875 256.938 -0.0793619
  19 0.925 253.493 -0.0949812
  20 0.975 255.681 -0.0934905
150000 20 5000
  1 0.025 255.619 -0.234831
  2 0.075 253.151 -0.150806
  3 0.125 249.991 -0.113499
  4 0.175 246.477 -0.0897148
  5 0.225 246.039 -0.102245
  6 0.275 249.105 -0.0181285
  7 0.325 253.987 0.0188292
  8 0.375 248.55 0.0212263
  9 0.425 249.583 0.102035
  10 0.475 248.693 0.213405
  11 0.525 246.852 0.244953
  12 0.575 244.788 0.173058
  13 0.625 242.401 0.122527
  14 0.675 253.609 0.0819931
  15 0.725 249.231 0.0759416
  16 0.775 253.437 -0.0219181
  17 0.825 253.708 -0.0140383
  18 0.875 248.559 -0.0439672
  19 0.925 250.061 -0.0782326
  20 0.975 256.159 -0.167388
155000 20 5000
  1 0.025 248.669 -0.176739
  2 0.075 253.779 -0.157329
  3 0.125 246.726 -0.140507
  4 0.175 243.045 -0.0711066
  5 0.225 244.859 -0.0273052
  6 0.275 250.324 -0.0492247
  7 0.325 249.448 0.0123132
  8 0.375 242.968 0.0603649
  9 0.425 243.786 0.106655
  10 0.475 249.264 0.103327
  11 0.525 253.675 0.154199
  12 0.575 259.641 0.166855
  13 0.625 252.131 0.0969004
  14 0.675 250.907 0.0777732
  15 0.725 254.662 0.0396964
  16 0.775 257.764 0.0476162
  17 0.825 251.494 0.00872688
  18 0.875 250.138 0.00207396
  19 0.925 244.822 -0.0971198
  20 0.975 251.898 -0.168184
160000 20 5000
  1 0.025 249.323 -0.167113
  2 0.075 249.877 -0.128747
  3 0.125 246.116 -0.131347
  4 0.175 251.758 -0.0778642
  5 0.225 254.635 -0.0146268
  6 0.275 255.856 -0.0468293
  7 0.325 244.13 0.0375655
  8 0.375 246.509 0.090733
  9 0.425 245.196 0.115595
  10 0.475 249.052 0.131713
  11 0.525 251.353 0.0940988
  12 0.575 252.769 0.139141
  13 0.625 247.414 0.0864534
  14 0.675 251.262 0.0995746
  15 0.725 249.344 0.0845391
  16 0.775 259.187 0.0187505
  17 0.825 249.151 -0.0331135
  18 0.875 250.909 -0.0678519
  19 0.925 246.185 -0.103776
  20 0.975 249.973 -0.126255
165000 20 5000
  1 0.025 245.858 -0.14572
  2 0.075 248.559 -0.158727
  3 0.125 248.369 -0.113557
  4 0.175 251.962 -0.0593362
  5 0.225 253.495 -0.0103259
  6 0.275 249.074 0.0262496
  7 0.325 251.462 0.0868682
  8 0.375 244.835 0.0794486
  9 0.425 252.79 0.0491418
  10 0.475 255.372 0.115242
  11 0.525 248.959 0.107156
  12 0.575 253.394 0.11391
  13 0.625 248.828 0.0714412
  14 0.675 247.46 0.060631
  15 0.725 250.077 0.053384
  16 0.775 249.701 0.0222233
  17 0.825 248.16 -0.00462474
  18 0.875 252.976 -0.0648204
  19 0.925 248.734 -0.0929833
  20 0.975 249.935 -0.140763
170000 20 5000
  1 0.025 250.822 -0.176505
  2 0.075 252.017 -0.117201
  3 0.125 254.807 -0.0531301
  4 0.175 246.251 -0.0397384
  5 0.225 252.217 -0.030846
  6 0.275 244.307 0.0494142
  7 0.325 247.27 0.0574121
  8 0.375 249.695 0.0562202
  9 0.425 252.834 0.0736188
  10 0.475 256.643 0.0944002
  11 0.525 252.114 0.107333
  12 0.575 250.592 0.140495
  13 0.625 244.195 0.115009
  14 0.675 253.744 0.0551354
  15 0.725 249.055 0.0576535
  16 0.775 252.287 0.0281986
  17 0.825 248.877 -0.0148299
  18 0.875 246.935 -0.0849801
  19 0.925 248.126 -0.117195
  20 0.975 247.213 -0.203452
175000 20 5000
  1 0.025 252.146 -0.168393
  2 0.075 253.295 -0.134539
  3 0.125 252.529 -0.0565531
  4 0.175 252.073 -0.0454855
  5 0.225 250.208 -0.0030354
  6 0.275 247.088 0.00572192
  7 0.325 248.146 0.044241
  8 0.375 246.289 0.0416786
  9 0.425 243.33 0.0593844
  10 0.475 249.499 0.110087
  11 0.525 252.103 0.151878
  12 0.575 251.687 0.170949
  13 0.625 250.826 0.0930793
  14 0.675 252.693 0.0477251
  15 0.725 256.281 0.0583557
  16 0.775 248.316 0.0335282
  17 0.825 251.552 -0.0169842
  18 0.875 246.909 -0.0826452
  19 0.925 246.394 -0.140326
  20 0.975 248.636 -0.170039
180000 20 5000
  1 0.025 251.361 -0.178446
  2 0.075 249.262 -0.157534
  3 0.125 257.16 -0.113711
  4 0.175 249.98 -0.0767892
  5 0.225 254.672 0.00152322
  6 0.275 249.563 0.0106803
  7 0.325 254.125 0.0440196
  8 0.375 244.043 0.0567241
  9 0.425 250.545 0.0762285
  10 0.475 255.82 0.0853935
  11 0.525 252.358 0.111056
  12 0.575 249.148 0.150089
  13 0.625 252.293 0.111531
  14 0.675 253.473 0.0880486
  15 0.725 253.312 0.0475529
  16 0.775 245.107 0.0318297
  17 0.825 250.851 -0.0311664
  18 0.875 243.226 -0.0562309
  19 0.925 244.416 -0.0962423
  20 0.975 239.285 -0.113564
185000 20 5000
  1 0.025 248.49 -0.188656
  2 0.075 249.691 -0.199958
  3 0.125 246.676 -0.158499
  4 0.175 258.929 -0.10299
  5 0.225 248.78 -0.0352768
  6 0.275 245.603 0.0552205
  7 0.325 248.662 0.0653823
  8 0.375 243.661 0.0711567
  9 0.425 250.481 0.0977021
  10 0.475 254.45 0.135265
  11 0.525 254.907 0.148519
  12 0.575 249.059 0.17039
  13 0.625 246.354 0.128279
  14 0.675 250.806 0.0545429
  15 0.725 254.487 0.0271289
  16 0.775 247.645 0.000847603
  17 0.825 252.106 -0.0288266
  18 0.875 254.4 -0.0410593
  19 0.925 246.772 -0.0743516
  20 0.975 248.043 -0.126317
190000 20 5000
  1 0.025 252.098 -0.175762
  2 0.075 243.839 -0.173705
  3 0.125 247.483 -0.102948
  4 0.175 250.985 -0.0618021
  5 0.225 248.835 -0.0706495
  6 0.275 251.173 -0.0153777
  7 0.325 248.354 0.0213649
  8 0.375 248.674 0.084447
  9 0.425 248.151 0.118595
  10 0.475 250.49 0.122125
  11 0.525 251.769 0.179253
  12 0.575 254.671 0.159595
  13 0.625 244.153 0.092922
  14 0.675 252.881 0.0598621
  15 0.725 249.183 0.035061
  16 0.775 246.374 0.0172087
  17 0.825 252.698 -0.0149041
  18 0.875 254.105 -0.0505712
  19 0.925 251.563 -0.0849041
  20 0.975 252.519 -0.141891
195000 20 5000
  1 0.025 247.401 -0.195141
  2 0.075 247.147 -0.179839
  3 0.125 245.65 -0.125128
  4 0.175 248.668 -0.0548562
  5 0.225 241.894 -0.00673003
  6 0.275 254.239 0.00179395
  7 0.325 250.065 0.0239419
  8 0.375 254.955 0.0780506
  9 0.425 243.017 0.10463
  10 0.475 252.382 0.122114
  11 0.525 254.36 0.147613
  12 0.575 244.829 0.0987119
  13 0.625 243.267 0.0992969
  14 0.675 246.509 0.0559707
  15 0.725 250.775 -0.000359605
  16 0.775 252.179 0.0197944
  17 0.825 257.521 0.0274095
  18 0.875 255.525 -0.00470702
  19 0.925 253.004 -0.083205
  20 0.975 256.611 -0.129498
200000 20 5000
  1 0.025 252.336 -0.168344
  2 0.075 249.002 -0.145648
  3 0.125 253.475 -0.139279
  4 0.175 254.918 -0.0751089
  5 0.225 246.689 -0.0626281
  6 0.275 242.95 0.0296887
  7 0.325 253.124 0.128485
  8 0.375 249.914 0.0790023
  9 0.425 248.582 0.0447679
  10 0.475 250.572 0.0942942
  11 0.525 251.03 0.107406
