# Created by MD - Bulk Evaluation, Folder: ./EMD_LJ
# t η(t) ACF_η η_V(t) ACF_η_V
# ps Pa*s Pa^2 Pa*s Pa^2
0.28 9.508182534861141e-10 4.985022901224795e-5 2.993875805370548e-7 0.22754450808002424
0.28500000000000003 9.519315796568115e-10 4.656905082757994e-5 3.0464150533243953e-7 0.2274700765371704
0.29 9.529715845678753e-10 4.350026326372178e-5 3.098937502321191e-7 0.22739902121526734
0.295 9.539432085395092e-10 4.064694003191695e-5 3.15144391411183e-7 0.22733118679312628
0.3 9.548514318263728e-10 3.800946593225873e-5 3.2039350104940973e-7 0.22726638257943907
0.305 9.55701163697368e-10 3.5581308465214726e-5 3.2564114642241223e-7 0.22720437454157438
0.31 9.564970645757682e-10 3.334744892752266e-5 3.3088738887696844e-7 0.22714488324716517
0.315 9.572433647462364e-10 3.128565399846055e-5 3.3613228289289803e-7 0.22708759341787743
0.32 9.579437380715945e-10 2.9369968250889235e-5 3.413758755203078e-7 0.22703217688384472
0.325 9.586012696299197e-10 2.757535558524655e-5 3.466182064585202e-7 0.22697832520259537
0.33 9.592185300237754e-10 2.588229610351023e-5 3.518593088986296e-7 0.22692578317321943
0.335 9.597977453783616e-10 2.428047634474212e-5 3.570992110537722e-7 0.22687437488222875
0.34 9.603410358214929e-10 2.2771029897667305e-5 3.6233793815724255e-7 0.22682401817476686
0.34500000000000003 9.60850684961008e-10 2.1366981312816344e-5 3.6757551464979597e-7 0.22677472656815714
0.35000000000000003 9.61329396751077e-10 2.0091710007019576e-5 3.728119662527265e-7 0.2267265974455803
0.355 9.617804955282994e-10 1.8975564598691317e-5 3.780473216141529e-7 0.22667978690074606
0.36 9.622080315562148e-10 1.8051065154664772e-5 3.832816132703139e-7 0.22663447556946548
0.365 9.62616767605502e-10 1.7347398075675933e-5 3.885148778000454e-7 0.22659083292363408
0.37 9.63012040522734e-10 1.6885094632038112e-5 3.937471552478984e-7 0.2265489896387973
0.375 9.633995119202134e-10 1.6671749792161383e-5 3.9897848804272626e-7 0.2265090215310555
