# Created by MD - Bulk Evaluation, Folder: ./EMD_LJ
# t λ(t) ACF_λ
# ps W/(m*K) eV^2/(Å^4*ps)
1.07 9.29962827725972e7 0.00025609479408251324
1.075 9.304314071097513e7 0.00025612521173095493
1.08 9.308979812270014e7 0.00025390276927771555
1.085 9.313581791091454e7 0.00024915513302798406
1.09 9.318073035657348e7 0.00024179803249381788
1.095 9.322407010540745e7 0.00023196345101001033
1.1 9.32654156034972e7 0.00021999820170081217
1.105 9.330442495962214e7 0.00020642629141070978
1.11 9.334086203398426e7 0.0001918797179402555
1.115 9.337460831761277e7 0.00017701234591710295
1.12 9.34056592456869e7 0.0001624158728498823
1.125 9.34341068325388e7 0.0001485543406749299
1.1300000000000001 9.346011293076323e7 0.00013572713317626828
1.135 9.348387856307432e7 0.00012406304842378483
1.1400000000000001 9.350561468154398e7 0.0001135418295162584
1.145 9.352551877090904e7 0.0001040365173609471
1.1500000000000001 9.354376037858222e7 9.536867868300983e-5
1.155 9.356047720023972e7 8.736856463293e-5
1.16 9.357578178284717e7 7.993101498051895e-5
1.165 9.35897771491624e7 7.30570776122731e-5
1.17 9.360257776380035e7 6.687077946823261e-5
1.175 9.361433057296172e7 6.160316081210415e-5
1.18 9.362523002260733e7 5.754241738084188e-5
1.185 9.363552177284706e7 5.496019263693825e-5
1.19 9.364549258393946e7 5.40341227878745e-5
1.195 9.365544788571721e7 5.479065506319016e-5
1.2 9.366568233480707e7 5.708557666360355e-5
1.205 9.367645082405815e7 6.062842906818695e-5
1.21 9.368794737559484e7 6.504427226827956e-5
1.215 9.370029713827784e7 6.995516928283102e-5
1.22 9.37135629036751e7 7.505740839988326e-5
1.225 9.372776335515806e7 8.017253967114882e-5
1.23 9.374289707843982e7 8.525931874338204e-5
1.235 9.375896522980726e7 9.03870897776437e-5
1.24 9.37759868738117e7 9.568226992485352e-5
1.245 9.379400373706578e7 0.00010126616870256758
1.25 9.381307440537715e7 0.00010720177016474
1.2550000000000001 9.383326070560879e7 0.00011346151934541023
1.26 9.385461061775908e7 0.00011992160642370874
1.2650000000000001 9.387714249767438e7 0.0001263820095856482
1.27 9.390083473565714e7 0.00013260587373571065
1.2750000000000001 9.392562341484222e7 0.00013836757998406725
1.28 9.3951408504895e7 0.00014349797863539654
1.285 9.397806715398437e7 0.0001479167498872868
1.29 9.400547102414118e7 0.00015164424270041937
1.295 9.403350359396632e7 0.0001547892790435893
1.3 9.406207322611342e7 0.0001575150529667866
1.305 9.409111882098778e7 0.00015999218893295508
1.31 9.41206070641925e7 0.00016235379188977924
1.315 9.415052289849934e7 0.00016466633219167575
1.32 9.418085684559797e7 0.00016692432452944058
1.325 9.421159343096632e7 0.0001690677075806469
1.33 9.424270409778209e7 0.00017101353561726744
1.335 9.427414608599916e7 0.00017268949411339393
1.34 9.43058665957473e7 0.0001740581488690876
1.345 9.43378099143585e7 0.0001751250933122512
1.35 9.43699245063355e7 0.00017593039608187206
1.355 9.440216741539416e7 0.00017652777081996027
1.36 9.443450428117427e7 0.00017695746884758805
1.365 9.44669045124511e7 0.00017722044054204885
1.37 9.449933237380527e7 0.00017725950259111034
1.375 9.45317357019912e7 0.0001769522601600662
1.3800000000000001 9.456403454952915e7 0.00017611738921701546
1.385 9.459611210497488e7 0.00017453324130037572
1.3900000000000001 9.462780995236835e7 0.0001719666718052839
1.395 9.465892932707669e7 0.00016820976031699112
1.4000000000000001 9.468923951775241e7 0.0001631212068918483
1.405 9.471849376574694e7 0.00015666689298188
1.41 9.47464517149859e7 0.00014895092584433272
1.415 9.477290576481721e7 0.0001402272588436098
1.42 9.479770714154391e7 0.00013088499600495324
1.425 9.482078689341496e7 0.0001214075940424763
1.43 9.484216775008526e7 0.00011231379676305662
1.435 9.486196471245149e7 0.00010409350858086981
1.44 9.488037458265299e7 9.715102218727293e-5
1.445 9.489765652932565e7 9.17637942023855e-5
1.45 9.491410668810235e7 8.805846678587309e-5
1.455 9.493002982914336e7 8.600278470984737e-5
1.46 9.494571078655876e7 8.541107549271733e-5
1.465 9.4961387983993e7 8.596168308323807e-5
1.47 9.49772312297172e7 8.722620562570721e-5
1.475 9.499332602344938e7 8.871143961524445e-5
1.48 9.500966651880842e7 8.991205338403686e-5
1.485 9.50261585617112e7 9.036805717928785e-5
1.49 9.504263285903831e7 8.971807048299011e-5
1.495 9.505886677895677e7 8.77404102538457e-5
1.5 9.507461202439694e7 8.437620413900277e-5
1.5050000000000001 9.508962466323121e7 7.973203914002438e-5
1.51 9.510369371274439e7 7.406150946448768e-5
1.5150000000000001 9.511666450063668e7 6.772656913273505e-5
1.52 9.512845345643733e7 6.114250231757931e-5
1.5250000000000001 9.513905200735925e7 5.4713849938499866e-5
1.53 9.514851907854545e7 4.877391383988167e-5
1.5350000000000001 9.515696411174844e7 4.35416063497543e-5
1.54 9.516452460011919e7 3.910465448262324e-5
1.545 9.517134311731449e7 3.543086795841051e-5
1.55 9.51775484699867e7 3.2401945260835294e-5
1.555 9.518324406864509e7 2.9858574063683604e-5
1.56 9.518850444271006e7 2.764435772203334e-5
